Origem,Destino,Distancia
ACRELANDIA,CORACAO DE MARIA,4158.61371059085
ACRELANDIA,CORDEIROS,3737.5324921169163
ACRELANDIA,CORIBE,3348.267387638659
ACRELANDIA,CORONEL JOAO SA,4279.693286411023
ACRELANDIA,CORRENTINA,3313.0198097007647
ACRELANDIA,COTEGIPE,3350.8442579328416
ACRELANDIA,CRAVOLANDIA,4013.674671617414
ACRELANDIA,CRISOPOLIS,4244.112154781715
ACRELANDIA,CRISTOPOLIS,3327.978452844064
ACRELANDIA,CRUZ DAS ALMAS,4110.378803572142
ACRELANDIA,CURACA,3996.508813507543
ACRELANDIA,DARIO MEIRA,4016.8908571143315
ACRELANDIA,DIAS D'AVILA,4228.413784144485
ACRELANDIA,DOM BASILIO,3734.8656657997562
ACRELANDIA,DOM MACEDO COSTA,4099.230857292273
ACRELANDIA,ELISIO MEDRADO,4051.4297383226644
ACRELANDIA,ENCRUZILHADA,3896.911882037907
ACRELANDIA,ENTRE RIOS,4255.560261520885
ACRELANDIA,ERICO CARDOSO,3675.6314321269388
ACRELANDIA,ESPLANADA,4275.624897685286
ACRELANDIA,EUCLIDES DA CUNHA,4117.995560854702
ACRELANDIA,EUNAPOLIS,4106.449723955358
ACRELANDIA,FATIMA,4235.752684712565
ACRELANDIA,FEIRA DA MATA,3380.9794365279804
ACRELANDIA,FEIRA DE SANTANA,4128.00297799093
ACRELANDIA,FILADELFIA,3952.2665255397924
ACRELANDIA,FIRMINO ALVES,4024.628890950873
ACRELANDIA,FLORESTA AZUL,4059.568985890345
ACRELANDIA,FORMOSA DO RIO PRETO,3206.6871472414905
ACRELANDIA,GANDU,4066.744030231641
ACRELANDIA,GAVIAO,4004.2718925475783
ACRELANDIA,GENTIO DO OURO,3604.015230279135
ACRELANDIA,GLORIA,4237.2407222108695
ACRELANDIA,GONGOGI,4078.537390236185
ACRELANDIA,GOVERNADOR MANGABEIRA,4118.602517648399
ACRELANDIA,GUAJERU,3725.05770276945
ACRELANDIA,GUANAMBI,3597.4202312382886
ACRELANDIA,GUARATINGA,4084.00449675707
ACRELANDIA,HELIOPOLIS,4225.224980533763
ACRELANDIA,IACU,3948.912541535531
ACRELANDIA,IBIASSUCE,3674.439043222338
ACRELANDIA,IBICARAI,4071.0758768289957
ACRELANDIA,IBICOARA,3800.6142181422842
ACRELANDIA,IBICUI,4013.1495520731182
ACRELANDIA,IBIPEBA,3677.014448104604
ACRELANDIA,IBIPITANGA,3618.850587681518
ACRELANDIA,IBIQUERA,3842.639617004676
ACRELANDIA,IBIRAPITANGA,4088.9409598369407
ACRELANDIA,IBIRAPUA,4073.749819307725
ACRELANDIA,IBIRATAIA,4048.2727736579345
ACRELANDIA,IBITIARA,3655.592080433394
ACRELANDIA,IBITITA,3682.4416002536022
ACRELANDIA,IBOTIRAMA,3503.189562739051
ACRELANDIA,ICHU,4091.8077341167755
ACRELANDIA,IGAPORA,3598.8900975699194
ACRELANDIA,IGRAPIUNA,4117.212462684733
ACRELANDIA,IGUAI,3996.9712221050336
ACRELANDIA,ILHEUS,4147.273490793703
ACRELANDIA,INHAMBUPE,4215.357863569266
ACRELANDIA,IPECAETA,4078.420296062583
ACRELANDIA,IPIAU,4036.357339228015
ACRELANDIA,IPIRA,4014.4641190617863
ACRELANDIA,IPUPIARA,3589.8902044861657
ACRELANDIA,IRAJUBA,3973.1491883571466
ACRELANDIA,IRAMAIA,3846.852452739271
ACRELANDIA,IRAQUARA,3739.5366883656516
ACRELANDIA,IRARA,4156.216116341848
ACRELANDIA,IRECE,3699.254873287281
ACRELANDIA,ITABELA,4116.219458280282
ACRELANDIA,ITABERABA,3933.608638674489
ACRELANDIA,ITABUNA,4112.710361675929
